sample,input,filtered,denoisedF,denoisedR,merged,nosingletons,nochimeras,percent_singletons,percent_chimeras,percent_retained_of_total
tdna014-Rep2-MiFish-U_S70_L001_R1_001.fastq.gz,76649,71923,71842,71250,69352,69305,61356,0.067770216,11.46959094,80.04801106
tdna014-Rep3-MiFish-U_S126_L001_R1_001.fastq.gz,43896,41865,41764,41732,41373,41337,37299,0.08701327,9.768488279,84.97129579
tdna015-Rep1-MiFish-U_S15_L001_R1_001.fastq.gz,57077,53889,53823,53651,53325,53228,52090,0.181903422,2.137972496,91.26268024
tdna015-Rep2-MiFish-U_S71_L001_R1_001.fastq.gz,1163,895,866,784,757,757,520,0,31.30779392,44.71195185
tdna015-Rep3-MiFish-U_S127_L001_R1_001.fastq.gz,34258,32742,32528,32586,32378,32378,32378,0,0,94.51223072
tdna016-Rep1-MiFish-U_S16_L001_R1_001.fastq.gz,90209,85307,85142,84082,81872,81611,71320,0.318790307,12.60981975,79.06084759
tdna016-Rep2-MiFish-U_S72_L001_R1_001.fastq.gz,81389,77391,76805,76672,73620,73620,65897,0,10.49035588,80.96548674
tdna016-Rep3-MiFish-U_S128_L001_R1_001.fastq.gz,103203,98812,98673,98025,95174,94878,89504,0.311009309,5.664116023,86.72616106
tdna017-Rep1-MiFish-U_S17_L001_R1_001.fastq.gz,124853,119701,119580,118765,117878,117488,96449,0.33085054,17.90736075,77.25004605
tdna017-Rep2-MiFish-U_S73_L001_R1_001.fastq.gz,87738,82991,82898,82381,79007,78983,54758,0.030377055,30.67115708,62.41081401
tdna017-Rep3-MiFish-U_S129_L001_R1_001.fastq.gz,76037,72536,72495,72233,69901,69901,62343,0,10.81243473,81.9903468
tdna018-Rep1-MiFish-U_S18_L001_R1_001.fastq.gz,92100,88209,88036,87727,86003,85806,69272,0.229061777,19.26904878,75.21389794
tdna018-Rep2-MiFish-U_S74_L001_R1_001.fastq.gz,77947,73510,73271,72990,72034,71980,61227,0.0749646,14.93887191,78.54952724
