sample	reads.in	reads.out	percentage_retained
tdna021-Rep3-MiFish-U_S133_L001_R1_001.fastq.gz	100829	96035	95.2454155054597
tdna022-Rep1-MiFish-U_S22_L001_R1_001.fastq.gz	73152	69448	94.9365704286964
tdna022-Rep2-MiFish-U_S78_L001_R1_001.fastq.gz	89391	84183	94.1739101251804
tdna022-Rep3-MiFish-U_S134_L001_R1_001.fastq.gz	89349	84965	95.0933977996396
tdna023-Rep1-MiFish-U_S23_L001_R1_001.fastq.gz	81261	78027	96.0202311071732
tdna023-Rep2-MiFish-U_S79_L001_R1_001.fastq.gz	68144	64683	94.921049542146
tdna023-Rep3-MiFish-U_S135_L001_R1_001.fastq.gz	76409	73260	95.8787577379628
tdna024-Rep1-MiFish-U_S24_L001_R1_001.fastq.gz	103177	99207	96.1522432325034
tdna024-Rep2-MiFish-U_S80_L001_R1_001.fastq.gz	66559	61902	93.0032001682718
tdna024-Rep3-MiFish-U_S136_L001_R1_001.fastq.gz	75805	72532	95.6823428533738
tdna025-Rep1-MiFish-U_S25_L001_R1_001.fastq.gz	207931	197967	95.2080257393078
tdna025-Rep2-MiFish-U_S81_L001_R1_001.fastq.gz	104428	99809	95.5768567817061
tdna025-Rep3-MiFish-U_S137_L001_R1_001.fastq.gz	83148	79025	95.0413720113532
tdna026-Rep1-MiFish-U_S26_L001_R1_001.fastq.gz	19501	18189	93.272139890262
tdna026-Rep2-MiFish-U_S82_L001_R1_001.fastq.gz	76832	73065	95.0970949604332
tdna026-Rep3-MiFish-U_S138_L001_R1_001.fastq.gz	85095	79784	93.758740231506
tdna027-Rep1-MiFish-U_S27_L001_R1_001.fastq.gz	118144	110586	93.6027221018418
tdna027-Rep2-MiFish-U_S83_L001_R1_001.fastq.gz	62075	59055	95.1349174385824
tdna027-Rep3-MiFish-U_S139_L001_R1_001.fastq.gz	83722	78040	93.2132533862067
tdna028-Rep1-MiFish-U_S28_L001_R1_001.fastq.gz	140566	133393	94.8970590327675
tdna028-Rep2-MiFish-U_S84_L001_R1_001.fastq.gz	85479	81348	95.1672340574878
tdna028-Rep3-MiFish-U_S140_L001_R1_001.fastq.gz	99321	94507	95.1530894775526
tdna029-Rep1-MiFish-U_S29_L001_R1_001.fastq.gz	43591	39370	90.3168085155193
tdna029-Rep2-MiFish-U_S85_L001_R1_001.fastq.gz	80511	77286	95.9943361776652
tdna029-Rep3-MiFish-U_S141_L001_R1_001.fastq.gz	88546	83739	94.571183339733
tdna030-Rep1-MiFish-U_S30_L001_R1_001.fastq.gz	65825	61717	93.7592100265856
tdna030-Rep2-MiFish-U_S86_L001_R1_001.fastq.gz	100830	94885	94.103937320242
tdna030-Rep3-MiFish-U_S142_L001_R1_001.fastq.gz	98047	92663	94.5087560047732
tdna031-Rep1-MiFish-U_S31_L001_R1_001.fastq.gz	83530	79875	95.6243265892494
tdna031-Rep2-MiFish-U_S87_L001_R1_001.fastq.gz	41078	38785	94.4179366084035
tdna031-Rep3-MiFish-U_S143_L001_R1_001.fastq.gz	64129	60872	94.9211745076331
tdna032-Rep1-MiFish-U_S32_L001_R1_001.fastq.gz	68828	65493	95.1545882489684
tdna032-Rep2-MiFish-U_S88_L001_R1_001.fastq.gz	45114	42951	95.2054794520548
tdna032-Rep3-MiFish-U_S144_L001_R1_001.fastq.gz	105820	100390	94.8686448686449
tdna033-Rep1-MiFish-U_S33_L001_R1_001.fastq.gz	92213	87838	95.2555496513507
tdna033-Rep2-MiFish-U_S89_L001_R1_001.fastq.gz	41696	39115	93.809957789716
tdna033-Rep3-MiFish-U_S145_L001_R1_001.fastq.gz	88051	83589	94.9324823113877
tdna034-Rep1-MiFish-U_S34_L001_R1_001.fastq.gz	91205	86714	95.0759278548325
tdna034-Rep2-MiFish-U_S90_L001_R1_001.fastq.gz	101448	96395	95.0191230975475
tdna034-Rep3-MiFish-U_S146_L001_R1_001.fastq.gz	61276	57507	93.8491415888766
tdna035-Rep1-MiFish-U_S35_L001_R1_001.fastq.gz	88355	84308	95.4196140569294
tdna035-Rep2-MiFish-U_S91_L001_R1_001.fastq.gz	491	322	65.5804480651731
tdna035-Rep3-MiFish-U_S147_L001_R1_001.fastq.gz	66447	62917	94.6874952970036
tdna036-Rep1-MiFish-U_S36_L001_R1_001.fastq.gz	6515	5832	89.5165003837299
tdna036-Rep2-MiFish-U_S92_L001_R1_001.fastq.gz	98939	93634	94.6381103508222
tdna036-Rep3-MiFish-U_S148_L001_R1_001.fastq.gz	38356	36216	94.4206903743873
tdna037-Rep1-MiFish-U_S37_L001_R1_001.fastq.gz	94437	90455	95.7834323411375
tdna037-Rep2-MiFish-U_S93_L001_R1_001.fastq.gz	105410	100688	95.5203491129874
tdna037-Rep3-MiFish-U_S149_L001_R1_001.fastq.gz	86451	82266	95.1591074712843
tdna038-Rep1-MiFish-U_S38_L001_R1_001.fastq.gz	146202	137787	94.2442647843395
tdna038-Rep2-MiFish-U_S94_L001_R1_001.fastq.gz	108771	101972	93.7492530178081
tdna038-Rep3-MiFish-U_S150_L001_R1_001.fastq.gz	111388	105348	94.5775128380077
tdna039-Rep1-MiFish-U_S39_L001_R1_001.fastq.gz	84979	80693	94.9564009931865
tdna039-Rep2-MiFish-U_S95_L001_R1_001.fastq.gz	93803	89288	95.1867211070008
