species,kingdom,phylum,order,family,genus,old_species,kingdom_id,phylum_id,order_id,family_id,genus_id,species_id,class,class_id,ids,in_range
Sebastes helvomaculatus,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes helvomaculatus,1,44,590,8633,2333712,2335394,NA,NA,Sebastes helvomaculatus,y
Sebastes hubbsi,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes hubbsi,1,44,590,8633,2333712,2335535,NA,NA,Sebastes hubbsi,n
Sebastes joyneri,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes joyneri,1,44,590,8633,2333712,2335451,NA,NA,Sebastes joyneri,n
Sebastes melanops,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes melanops,1,44,590,8633,2333712,2335569,NA,NA,Sebastes melanops,y
Sebastes melanosema,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes melanosema,1,44,590,8633,2333712,2335529,NA,NA,Sebastes melanosema,n
Sebastes melanostictus,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes melanostictus,1,44,590,8633,2333712,8416044,NA,NA,Sebastes melanostictus,y
Sebastes miniatus,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes miniatus,1,44,590,8633,2333712,2335381,NA,NA,Sebastes miniatus,y
Sebastes ovalis,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes ovalis,1,44,590,8633,2333712,2335567,NA,NA,Sebastes ovalis,n
Sebastes pachycephalus,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes pachycephalus,1,44,590,8633,2333712,4286366,NA,NA,Sebastes pachycephalus,n
Sebastes phillipsi,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes phillipsi,1,44,590,8633,2333712,2335550,NA,NA,Sebastes phillipsi,n
Sebastes polyspinis,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes polyspinis,1,44,590,8633,2333712,2335506,NA,NA,Sebastes polyspinis,y
Sebastes proriger,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes proriger,1,44,590,8633,2333712,2335489,NA,NA,Sebastes proriger,y
Sebastes reedi,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes reedi,1,44,590,8633,2333712,2335448,NA,NA,Sebastes reedi,y
Sebastes rosaceus,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes rosaceus,1,44,590,8633,2333712,2335450,NA,NA,Sebastes rosaceus,y
Sebastes rosenblatti,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes rosenblatti,1,44,590,8633,2333712,2335437,NA,NA,Sebastes rosenblatti,n
Sebastes ruberrimus,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes ruberrimus,1,44,590,8633,2333712,2335415,NA,NA,Sebastes ruberrimus,y
Sebastes rubrivinctus,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes rubrivinctus,1,44,590,8633,2333712,2335388,NA,NA,Sebastes rubrivinctus,n
Sebastes serriceps,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes serriceps,1,44,590,8633,2333712,2335522,NA,NA,Sebastes serriceps,n
Sebastes simulator,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes simulator,1,44,590,8633,2333712,2335424,NA,NA,Sebastes simulator,n
Sebastes variabilis,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes variabilis,1,44,590,8633,2333712,2335481,NA,NA,Sebastes variabilis,y
Sebastes variegatus,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes variegatus,1,44,590,8633,2333712,2335412,NA,NA,Sebastes variegatus,y
Sebastes ventricosus,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes ventricosus,1,44,590,8633,2333712,2335386,NA,NA,Sebastes ventricosus,n
Sebastes wilsoni,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes wilsoni,1,44,590,8633,2333712,2335485,NA,NA,Sebastes wilsoni,y
Sebastes zacentrus,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastes,Sebastes zacentrus,1,44,590,8633,2333712,2335429,NA,NA,Sebastes zacentrus,y
Sebastolobus alascanus,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastolobus,Sebastolobus alascanus,1,44,590,8633,2335321,2335323,NA,NA,Sebastolobus alascanus,y
Sebastolobus altivelis,Animalia,Chordata,Scorpaeniformes,Sebastidae,Sebastolobus,Sebastolobus altivelis,1,44,590,8633,2335321,2335322,NA,NA,Sebastolobus altivelis,y
Ulvaria subbifurcata,Animalia,Chordata,Perciformes,Stichaeidae,Ulvaria,Ulvaria subbifurcata,1,44,587,8598,2394772,5211302,NA,NA,Ulvaria subbifurcata,n
Alosa sapidissima,Animalia,Chordata,Clupeiformes,Clupeidae,Alosa,Alosa sapidissima,1,44,538,7332,2412615,2412661,NA,NA,Alosa sapidissima,y
Ammodytes personatus,Animalia,Chordata,Perciformes,Ammodytidae,Ammodytes,Ammodytes personatus,1,44,587,8487,2389989,2389997,NA,NA,Ammodytes personatus,y
Anoplarchus insignis,Animalia,Chordata,Perciformes,Stichaeidae,Anoplarchus,Anoplarchus insignis,1,44,587,8598,2394913,2394916,NA,NA,Anoplarchus insignis,y
Anoplarchus purpurescens,Animalia,Chordata,Perciformes,Stichaeidae,Anoplarchus,Anoplarchus purpurescens,1,44,587,8598,2394913,2394914,NA,NA,Anoplarchus purpurescens,y
Anoplopoma fimbria,Animalia,Chordata,Scorpaeniformes,Anoplopomatidae,Anoplopoma,Anoplopoma fimbria,1,44,590,5090,2335061,2335062,NA,NA,Anoplopoma fimbria,y
Artedius lateralis,Animalia,Chordata,Scorpaeniformes,Cottidae,Artedius,Artedius lateralis,1,44,590,8621,2333960,2333966,NA,NA,Artedius lateralis,y
Bathylagus pacificus,Animalia,Chordata,Osmeriformes,Bathylagidae,Bathylagus,Bathylagus pacificus,1,44,1068,4223,2410966,2410970,NA,NA,Bathylagus pacificus,y
