ASV,species
ASV23,Sebastes
ASV25,Hippoglossus stenolepis
ASV76,Hippoglossus stenolepis
ASV305,Hippoglossus stenolepis
ASV345,Gadus chalcogrammus
ASV367,Hippoglossus stenolepis
ASV503,Sebastes
ASV620,Hippoglossus stenolepis
