ASV,species
ASV31,Sebastes
ASV93,Gadus chalcogrammus
ASV181,Hippoglossus stenolepis
ASV201,Sebastes
ASV469,Sebastes
ASV632,Sebastes
ASV641,Gadus chalcogrammus
