row_names	input	filtered	denoisedF	denoisedR	merged	nosingletons	nochimeras	percent_singletons	percent_chimeras	percent_retained_of_total
tdna013-Rep3-MiFish-E_S297_L001_R1_001.fastq.gz	35725	33970	33918	33690	33449	33411	32770	0.11360578791593	1.91852982550657	91.7284814555633
tdna014-Rep1-MiFish-E_S186_L001_R1_001.fastq.gz	38865	35795	35667	35209	34982	34948	32741	0.0971928420330386	6.31509671511961	84.2428920622668
tdna014-Rep2-MiFish-E_S242_L001_R1_001.fastq.gz	27026	24246	24167	23796	23702	23674	23263	0.118133490844656	1.73608177747741	86.0763709020943
tdna014-Rep3-MiFish-E_S298_L001_R1_001.fastq.gz	48826	46064	46020	45220	44156	44133	42797	0.0520880514539357	3.02721319647429	87.6520706181133
tdna015-Rep1-MiFish-E_S187_L001_R1_001.fastq.gz	16824	15526	15430	15273	14949	14941	14941	0.0535152853033622	0	88.8076557299097
tdna015-Rep2-MiFish-E_S243_L001_R1_001.fastq.gz	8729	7940	7884	7682	7521	7521	7521	0	0	86.1610722877764
tdna015-Rep3-MiFish-E_S299_L001_R1_001.fastq.gz	8611	8192	8096	8062	7765	7765	7765	0	0	90.175357101382
tdna016-Rep1-MiFish-E_S188_L001_R1_001.fastq.gz	549756	501283	499848	493926	481401	476341	458980	1.05109877212553	3.64465792363035	83.4879473802924
tdna016-Rep2-MiFish-E_S244_L001_R1_001.fastq.gz	218511	204610	203965	200809	195751	195115	183488	0.324902554776216	5.9590497911488	83.9719739509681
tdna016-Rep3-MiFish-E_S300_L001_R1_001.fastq.gz	150612	142857	142601	141192	138002	137866	133752	0.0985492963870058	2.98405698286743	88.8056728547526
tdna017-Rep1-MiFish-E_S189_L001_R1_001.fastq.gz	85831	81271	81122	80227	79618	79567	78768	0.0640558667637947	1.00418515213593	91.7710384359963
tdna017-Rep2-MiFish-E_S245_L001_R1_001.fastq.gz	10912	10223	10187	10058	9980	9979	9744	0.010020040080164	2.35494538530915	89.2961876832845
tdna017-Rep3-MiFish-E_S301_L001_R1_001.fastq.gz	29659	27799	27709	27269	26979	26922	26634	0.211275436450578	1.06975707599733	89.80073502141
tdna018-Rep1-MiFish-E_S190_L001_R1_001.fastq.gz	55122	51874	51698	51515	51046	51034	50404	0.0235082082827347	1.23447113688914	91.4408040346867
tdna018-Rep2-MiFish-E_S246_L001_R1_001.fastq.gz	51066	48284	48168	47653	46787	46723	44072	0.136790134011591	5.67386511996233	86.3039987467199
tdna018-Rep3-MiFish-E_S302_L001_R1_001.fastq.gz	39116	35884	35706	35386	34989	34941	33790	0.137185972734287	3.29412438109958	86.3840883525923
tdna019-Rep1-MiFish-E_S191_L001_R1_001.fastq.gz	147771	141688	141443	139600	138561	138465	136358	0.0692835646394059	1.52168418011772	92.276563060411
tdna019-Rep2-MiFish-E_S247_L001_R1_001.fastq.gz	72624	69210	69102	68250	67592	67592	67063	0	0.782636998461356	92.3427517074245
tdna019-Rep3-MiFish-E_S303_L001_R1_001.fastq.gz	105068	99021	98927	98133	95827	95736	91055	0.0949627975413989	4.88948775800117	86.662923059352
tdna020-Rep1-MiFish-E_S192_L001_R1_001.fastq.gz	33693	31349	31275	30869	30619	30617	30145	0.00653189196249571	1.54162720057485	89.4696227703084
tdna020-Rep2-MiFish-E_S248_L001_R1_001.fastq.gz	142250	133759	133440	131743	129736	129622	125743	0.0878707529136165	2.99254756137076	88.3957820738137
tdna020-Rep3-MiFish-E_S304_L001_R1_001.fastq.gz	26114	24341	24251	24021	23734	23677	13924	0.24016179320806	41.1918739705199	53.3200582063261
tdna021-Rep1-MiFish-E_S193_L001_R1_001.fastq.gz	108115	103175	103059	102017	97406	97122	96528	0.291563148060689	0.611601902761478	89.2827082273505
tdna021-Rep2-MiFish-E_S249_L001_R1_001.fastq.gz	155725	148111	148030	147358	142622	142515	131840	0.0750234886623389	7.49043960284882	84.6620645368438
tdna021-Rep3-MiFish-E_S305_L001_R1_001.fastq.gz	23621	22066	21984	21876	21457	21445	20403	0.0559258050985676	4.85894147820005	86.3765293594683
tdna022-Rep1-MiFish-E_S194_L001_R1_001.fastq.gz	17482	16041	15946	15549	15402	15392	15312	0.0649266329048146	0.519750519750517	87.5872325820844
tdna022-Rep2-MiFish-E_S250_L001_R1_001.fastq.gz	9736	8908	8841	8749	8691	8679	7857	0.138073869520198	9.47113722779122	80.7004930156122
tdna022-Rep3-MiFish-E_S306_L001_R1_001.fastq.gz	23125	21329	21264	20927	20484	20461	18510	0.112282757273974	9.53521333268169	80.0432432432432
