reads.in	reads.out	percentage_retained
tdna021-Rep3-MiFish-E_S305_L001_R1_001.fastq.gz	23621	22066	93.4168748147835
tdna022-Rep1-MiFish-E_S194_L001_R1_001.fastq.gz	17482	16041	91.757236014186
tdna022-Rep2-MiFish-E_S250_L001_R1_001.fastq.gz	9736	8908	91.4954806902219
tdna022-Rep3-MiFish-E_S306_L001_R1_001.fastq.gz	23125	21329	92.2335135135135
tdna023-Rep1-MiFish-E_S195_L001_R1_001.fastq.gz	21726	20371	93.7632329927276
tdna023-Rep2-MiFish-E_S251_L001_R1_001.fastq.gz	14894	14005	94.0311534846247
tdna023-Rep3-MiFish-E_S307_L001_R1_001.fastq.gz	15029	14175	94.3176525384257
tdna024-Rep1-MiFish-E_S196_L001_R1_001.fastq.gz	20709	19399	93.674247911536
tdna024-Rep2-MiFish-E_S252_L001_R1_001.fastq.gz	32270	30199	93.5822745584134
tdna024-Rep3-MiFish-E_S308_L001_R1_001.fastq.gz	29233	27306	93.4081346423562
tdna025-Rep1-MiFish-E_S197_L001_R1_001.fastq.gz	7236	6673	92.2194582642344
tdna025-Rep2-MiFish-E_S253_L001_R1_001.fastq.gz	2984	2732	91.5549597855228
tdna025-Rep3-MiFish-E_S309_L001_R1_001.fastq.gz	1693	1444	85.2923803898405
tdna026-Rep1-MiFish-E_S198_L001_R1_001.fastq.gz	8078	7502	92.8695221589502
tdna026-Rep2-MiFish-E_S254_L001_R1_001.fastq.gz	4037	3719	92.1228635125093
tdna026-Rep3-MiFish-E_S310_L001_R1_001.fastq.gz	2212	1638	74.0506329113924
tdna027-Rep1-MiFish-E_S199_L001_R1_001.fastq.gz	26943	25558	94.859518242215
tdna027-Rep2-MiFish-E_S255_L001_R1_001.fastq.gz	5119	4779	93.3580777495605
tdna027-Rep3-MiFish-E_S311_L001_R1_001.fastq.gz	14452	13200	91.3368391918074
tdna028-Rep1-MiFish-E_S200_L001_R1_001.fastq.gz	215046	202590	94.2077508998075
tdna028-Rep2-MiFish-E_S256_L001_R1_001.fastq.gz	93213	85525	91.7522234023151
tdna028-Rep3-MiFish-E_S312_L001_R1_001.fastq.gz	76163	72318	94.9516169268542
tdna029-Rep1-MiFish-E_S201_L001_R1_001.fastq.gz	72212	68802	95.277793164571
tdna029-Rep2-MiFish-E_S257_L001_R1_001.fastq.gz	86158	81629	94.7433784442536
tdna029-Rep3-MiFish-E_S313_L001_R1_001.fastq.gz	45111	42599	94.4315133781118
tdna030-Rep1-MiFish-E_S202_L001_R1_001.fastq.gz	99950	93336	93.3826913456728
tdna030-Rep2-MiFish-E_S258_L001_R1_001.fastq.gz	118794	110169	92.7395322996111
tdna030-Rep3-MiFish-E_S314_L001_R1_001.fastq.gz	58519	55232	94.3830208991951
tdna031-Rep1-MiFish-E_S203_L001_R1_001.fastq.gz	18945	17861	94.2781736605965
tdna031-Rep2-MiFish-E_S259_L001_R1_001.fastq.gz	29886	28429	95.1248076022218
tdna031-Rep3-MiFish-E_S315_L001_R1_001.fastq.gz	2884	2680	92.9264909847434
tdna032-Rep1-MiFish-E_S204_L001_R1_001.fastq.gz	2682	2184	81.4317673378076
tdna032-Rep2-MiFish-E_S260_L001_R1_001.fastq.gz	27196	25525	93.8557140755994
tdna032-Rep3-MiFish-E_S316_L001_R1_001.fastq.gz	7455	6699	89.8591549295775
tdna033-Rep1-MiFish-E_S205_L001_R1_001.fastq.gz	31270	29107	93.0828269907259
tdna033-Rep2-MiFish-E_S261_L001_R1_001.fastq.gz	7077	6655	94.0370213367246
tdna033-Rep3-MiFish-E_S317_L001_R1_001.fastq.gz	56085	52818	94.1749130783632
tdna034-Rep1-MiFish-E_S206_L001_R1_001.fastq.gz	252346	237022	93.9273854152632
tdna034-Rep2-MiFish-E_S262_L001_R1_001.fastq.gz	9193	8617	93.7343631023605
tdna034-Rep3-MiFish-E_S318_L001_R1_001.fastq.gz	184329	171950	93.2842905891097
tdna035-Rep1-MiFish-E_S207_L001_R1_001.fastq.gz	190624	181729	95.3337460130938
tdna035-Rep2-MiFish-E_S263_L001_R1_001.fastq.gz	13660	13111	95.9809663250366
tdna035-Rep3-MiFish-E_S319_L001_R1_001.fastq.gz	73955	69673	94.2099925630451
tdna036-Rep1-MiFish-E_S208_L001_R1_001.fastq.gz	72210	67267	93.1546877163828
tdna036-Rep2-MiFish-E_S264_L001_R1_001.fastq.gz	12763	12061	94.4997257698033
tdna036-Rep3-MiFish-E_S320_L001_R1_001.fastq.gz	19901	18576	93.3420431134114
tdna037-Rep1-MiFish-E_S209_L001_R1_001.fastq.gz	82902	78319	94.4717859641504
tdna037-Rep2-MiFish-E_S265_L001_R1_001.fastq.gz	8123	7740	95.2849932291025
tdna037-Rep3-MiFish-E_S321_L001_R1_001.fastq.gz	98537	93311	94.696408455707
tdna038-Rep1-MiFish-E_S210_L001_R1_001.fastq.gz	70865	65165	91.9565370775418
tdna038-Rep2-MiFish-E_S266_L001_R1_001.fastq.gz	84253	78764	93.4850984534675
tdna038-Rep3-MiFish-E_S322_L001_R1_001.fastq.gz	66636	62441	93.7046041178942
tdna039-Rep1-MiFish-E_S211_L001_R1_001.fastq.gz	13764	12670	92.0517291485033
tdna039-Rep2-MiFish-E_S267_L001_R1_001.fastq.gz	16029	15186	94.7407823320232
tdna039-Rep3-MiFish-E_S323_L001_R1_001.fastq.gz	6567	6101	92.9039135069286
tdna040-Rep1-MiFish-E_S212_L001_R1_001.fastq.gz	11022	9089	82.4623480312103
tdna040-Rep2-MiFish-E_S268_L001_R1_001.fastq.gz	14822	14073	94.9467008500877
tdna040-Rep3-MiFish-E_S324_L001_R1_001.fastq.gz	13190	12173	92.289613343442
tdna041-Rep1-MiFish-E_S213_L001_R1_001.fastq.gz	178200	167726	94.1223344556678
tdna041-Rep2-MiFish-E_S269_L001_R1_001.fastq.gz	128967	121626	94.3078461932122
tdna041-Rep3-MiFish-E_S325_L001_R1_001.fastq.gz	4059	3688	90.859817689086
tdna042-Rep1-MiFish-E_S214_L001_R1_001.fastq.gz	34386	32125	93.4246495666841
tdna042-Rep2-MiFish-E_S270_L001_R1_001.fastq.gz	27825	25653	92.1940700808625
tdna042-Rep3-MiFish-E_S326_L001_R1_001.fastq.gz	21255	19790	93.1075041166784
tdna044-Rep1-MiFish-E_S215_L001_R1_001.fastq.gz	144820	138223	95.4446899599503
tdna044-Rep2-MiFish-E_S271_L001_R1_001.fastq.gz	105143	100346	95.4376420684211
tdna044-Rep3-MiFish-E_S327_L001_R1_001.fastq.gz	19246	18039	93.7285669749558
tdna045-Rep1-MiFish-E_S216_L001_R1_001.fastq.gz	201956	189467	93.8159797183545
tdna045-Rep2-MiFish-E_S272_L001_R1_001.fastq.gz	45314	42714	94.2622589045328
tdna045-Rep3-MiFish-E_S328_L001_R1_001.fastq.gz	18412	17342	94.1885726699978
tdna046-Rep1-MiFish-E_S217_L001_R1_001.fastq.gz	18715	17494	93.4758215335293
tdna046-Rep2-MiFish-E_S273_L001_R1_001.fastq.gz	5325	4946	92.8826291079812
tdna046-Rep3-MiFish-E_S329_L001_R1_001.fastq.gz	6316	5925	93.8093730208993
tdna047-Rep1-MiFish-E_S218_L001_R1_001.fastq.gz	448672	420116	93.6354396975965
tdna047-Rep2-MiFish-E_S274_L001_R1_001.fastq.gz	145575	137590	94.5148548857977
